time,forecast,load
3492,15696.24233,8585.588242
3493,15416.1708,8815.030766
3494,14202.60623,8846.948797
3495,12181.15788,8866.715727
3496,9309.297648,8928.228204
3497,5479.728468,8924.969918
3498,1610.827765,6591.53741
3499,179.2597321,6544.986717
3500,0,5511.14926
3501,0,5209.234573
3502,0,4432.696333
3503,0,4429.194499
3504,0,4334.059152
3505,0,4297.020018
3506,0,4290.714084
3507,0,4262.956127
3508,0,4421.229802
3509,0,4408.137419
3510,734.5426476,5008.142422
3511,3944.122428,5999.023173
3512,8243.110896,6135.140508
3513,11593.02055,6988.008194
3514,14036.83033,7085.783081
3515,15580.78742,7177.07431
3516,16268.4504,7029.523356
3517,15810.25888,7018.18189
3518,14692.50599,7048.869013
3519,12629.21651,6457.79632
3520,9617.513724,6434.790851
3521,4789.231716,6151.254209
3522,1693.589052,5758.686786
3523,178.4982622,5710.418087
3524,0,4888.632468
3525,0,4843.055969
3526,0,4587.659064
3527,0,4601.034489
3528,0,4541.319007
3529,0,4444.557808
3530,0,4447.816093
3531,0,4440.568877
3532,0,4674.783637
3533,0,4622.098151
3534,734.5576752,5146.945374
3535,3962.756652,5303.086353
3536,8258.653728,5915.367521
3537,11609.27183,5934.60786
3538,13519.45153,6030.974115
3539,15612.92502,6070.231516
3540,16287.47105,6031.652102
3541,16089.7293,5952.933247
3542,14926.61453,5910.851999
3543,12540.55367,5884.423685
3544,6335.679096,5691.51345
3545,5240.167056,5331.140518
3546,2020.654032,4953.475636
3547,191.6343167,4924.315628
3548,0,4802.2912
3549,0,4800.500789
3550,0,4595.794903
3551,0,4582.458972
3552,0,4511.520507
3553,0,4518.306955
3554,0,4495.104015
3555,0,4484.414206
3556,0,4678.331547
3557,0,4638.014381
3558,816.7908492,5227.467806
3559,4099.357536,5347.096243
3560,8545.895568,5956.856354
3561,12092.77412,5920.14634
3562,14652.03881,6010.568693
3563,16326.62868,6046.265018
3564,16989.13116,6086.141163
3565,16577.07437,6104.269078
